Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob
A56: Benoni Defense: King's Indian System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,g7g6	10	0.045507618677086636	0.17019931088941553	8755	921	8296	0.48714667260182504	0.05124638326285333	0.4616069441353216
A56: Benoni Defense: King's Indian System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,g7g6,f1d3	11	0.011024937220122146	0.04123346314336274	2122	231	2001	0.4873679375287092	0.05305466237942122	0.45957740009186954
A56: Benoni Defense: King's Indian System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,g7g6,f2f4	11	0.006611417336182573	0.024726819537740037	1224	111	1276	0.4687859057832248	0.0425124473381846	0.4887016468785906
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,b8d7	10	0.045507618677086636	0.17019931088941553	7046	839	7815	0.44878980891719744	0.053439490445859876	0.4977707006369427
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,b8d7,f1d3	11	0.011602993475438077	0.04339540391658155	1827	214	1962	0.45640769422932803	0.0534599050711966	0.4901324006994754
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,b8d7,g1f3	11	0.008023254044469796	0.030007114174643454	1263	149	1356	0.45628612716763006	0.053829479768786125	0.48988439306358383
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,a7a6	10	0.045507618677086636	0.17019931088941553	4815	407	4389	0.5009884507335345	0.04234731037353033	0.45666423889293517
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,a7a6,a2a4	11	0.009777674806803029	0.0365686793243828	1046	89	930	0.5065375302663438	0.043099273607748186	0.45036319612590797
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,a7a6,f1d3	11	0.009233155386569445	0.03453216691648739	1002	63	885	0.5138461538461538	0.03230769230769231	0.45384615384615384
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,c8g4	10	0.045507618677086636	0.17019931088941553	2902	207	2484	0.518862864294654	0.03701054890041123	0.4441265868049347
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,h7h6	10	0.045507618677086636	0.17019931088941553	1005	91	796	0.531183932346723	0.04809725158562368	0.42071881606765327
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,d8a5	10	0.045507618677086636	0.17019931088941553	815	47	601	0.5570745044429255	0.03212576896787423	0.4107997265892003
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,b8a6	10	0.045507618677086636	0.17019931088941553	759	70	676	0.5043189368770764	0.046511627906976744	0.4491694352159468
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,b8a6,a2a3	11	0.015088572571339687	0.05643153231482947	242	22	235	0.4849699398797595	0.04408817635270541	0.4709418837675351
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,b8a6,f1d3	11	0.0060777616970727	0.022730937866294033	110	9	82	0.5472636815920398	0.04477611940298507	0.4079601990049751
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,c8d7	10	0.045507618677086636	0.17019931088941553	590	32	457	0.5468025949953661	0.029657089898053754	0.4235403151065802
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,e2e4,f6d7	10	0.045507618677086636	0.17019931088941553	184	12	127	0.5696594427244582	0.03715170278637771	0.3931888544891641
A56: Benoni Defense: Hromádka System	d2d4,g8f6,c2c4,c7c5,d4d5,d7d6,b1c3,e7e5,d5e6	9	0.011556394118661054	0.04322112148559747	3063	273	3022	0.48175526895250076	0.042938030827304186	0.47530670022019506
