Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx
B02: Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4,d7d5,e4d5,g8f6,b1c3,c7c6,d5c6,a7a6	8	0.0903784959559841	0.1671744112688419	1223	88	1721	0.4033641160949868	0.0290237467018469	0.5676121372031663	1. e4 d5 2. exd5 Nf6 3. Nc3 c6 4. dxc6 a6	rnbqkb1r/1p2pppp/p1P2n2/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 5	14
B02: Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4,d7d5,e4d5,c7c6,b1c3,g8f6,d5c6,a7a6	8	0.0541630215878145	0.1001861244835745	1223	88	1721	0.4033641160949868	0.0290237467018469	0.5676121372031663	1. e4 d5 2. exd5 c6 3. Nc3 Nf6 4. dxc6 a6	rnbqkb1r/1p2pppp/p1P2n2/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 5	14
B27: Sicilian Defense	e2e4,c7c5,g1f3,d7d5,d2d4,d5e4	6	0.0594370850449707	0.1099416359480938	18225	1832	26011	0.3956108361552488	0.0397673005122861	0.564621863332465	1. e4 c5 2. Nf3 d5 3. d4 dxe4	rnbqkbnr/pp2pppp/8/2p5/3Pp3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4	15
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,e7e6,c6b7,c8b7,g1f3,b8d7	10	0.0710434892330651	0.1314101696581243	280	18	379	0.413589364844904	0.0265878877400295	0.5598227474150664	1. e4 d5 2. exd5 c6 3. dxc6 e6 4. cxb7 Bxb7 5. Nf3 Nd7	r2qkbnr/pb1n1ppp/4p3/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	16
A40: Mikenas Defense: Lithuanian Variation	d2d4,e7e5,c2c4,b8c6,d4d5,c6e7	6	0.0277133410245852	0.1036483929932091	53348	4592	73480	0.4059351696849794	0.0349414092223405	0.55912342109268	1. d4 e5 2. c4 Nc6 3. d5 Nce7	r1bqkbnr/ppppnppp/8/3Pp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 1 4	17
A41: Old Indian Defense	d2d4,d7d6,c2c4,b8d7,b1c3,c7c6,e2e4,a7a5	8	0.039108793156532	0.1462675885589665	904	92	1262	0.4003542958370239	0.0407440212577502	0.5589016829052259	1. d4 d6 2. c4 Nd7 3. Nc3 c6 4. e4 a5	r1bqkbnr/1p1npppp/2pp4/p7/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	18
A40: Queen's Pawn Game: Anglo-Slav Opening	d2d4,d7d6,c2c4,c7c6,b1c3,b8d7,e2e4,a7a5	8	0.0377500411651398	0.1411858317163257	904	92	1262	0.4003542958370239	0.0407440212577502	0.5589016829052259	1. d4 d6 2. c4 c6 3. Nc3 Nd7 4. e4 a5	r1bqkbnr/1p1npppp/2pp4/p7/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5	18
B03: Alekhine Defense: O'Sullivan Gambit	e2e4,g8f6,e4e5,f6d5,d2d4,b7b5,f1b5,c7c5	8	0.0643094081841624	0.1189540425354153	4862	397	6647	0.4083655299848815	0.0333445321686544	0.558289937846464	1. e4 Nf6 2. e5 Nd5 3. d4 b5 4. Bxb5 c5	rnbqkb1r/p2ppppp/8/1BpnP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 0 5	19
B03: Alekhine Defense: O'Sullivan Gambit	e2e4,g8f6,e4e5,f6d5,d2d4,b7b5,f1b5	7	0.0643094081841624	0.1189540425354153	5110	409	6803	0.4147054049667262	0.0331926635286479	0.5521019315046258	1. e4 Nf6 2. e5 Nd5 3. d4 b5 4. Bxb5	rnbqkb1r/p1pppppp/8/1B1nP3/3P4/8/PPP2PPP/RNBQK1NR b KQkq - 0 4	19
B02: Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4,d7d5,e4d5,g8f6,b1c3,c7c6,d5c6,d8c7	8	0.0903784959559841	0.1671744112688419	491	39	665	0.4108786610878661	0.0326359832635983	0.5564853556485355	1. e4 d5 2. exd5 Nf6 3. Nc3 c6 4. dxc6 Qc7	rnb1kb1r/ppq1pppp/2P2n2/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 5	20
B02: Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4,d7d5,e4d5,c7c6,b1c3,g8f6,d5c6,d8c7	8	0.0541630215878145	0.1001861244835745	491	39	665	0.4108786610878661	0.0326359832635983	0.5564853556485355	1. e4 d5 2. exd5 c6 3. Nc3 Nf6 4. dxc6 Qc7	rnb1kb1r/ppq1pppp/2P2n2/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 5	20
B02: Alekhine Defense: Scandinavian Variation	e2e4,g8f6,b1c3,d7d5,e4e5,c8g4	6	0.0629085719380667	0.116362895468317	1377	106	1847	0.4135135135135135	0.0318318318318318	0.5546546546546547	1. e4 Nf6 2. Nc3 d5 3. e5 Bg4	rn1qkb1r/ppp1pppp/5n2/3pP3/6b1/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 4	21
A43: Benoni Defense: Old Benoni	d2d4,c7c5,d4d5,g7g6,c2c4,f8g7,b1c3,g7c3,b2c3,e7e5	10	0.032401901736206	0.1211836942324023	348	32	473	0.4079718640093787	0.0375146541617819	0.5545134818288394	1. d4 c5 2. d5 g6 3. c4 Bg7 4. Nc3 Bxc3+ 5. bxc3 e5	rnbqk1nr/pp1p1p1p/6p1/2pPp3/2P5/2P5/P3PPPP/R1BQKBNR w KQkq e6 0 6	22
