Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval
B01: Scandinavian Defense	e2e4,d7d5,e4d5,c8g4,b1c3	5	0.1194590703652166	0.220965170395779	14886	1963	54243	0.209390648736848	0.0276121082540932	0.7629972430090587	1. e4 d5 2. exd5 Bg4 3. Nc3	rn1qkbnr/ppp1pppp/8/3P4/6b1/2N5/PPPP1PPP/R1BQKBNR b KQkq - 2 3	1	+870
A50: Indian Defense: Normal Variation	d2d4,g8f6,c2c4,f6e4,b1c3,e4f2,e1f2,c7c5,g1f3,c5d4	10	0.0277236372919556	0.103686901218032	226	15	479	0.3138888888888889	0.0208333333333333	0.6652777777777777	1. d4 Nf6 2. c4 Ne4 3. Nc3 Nxf2 4. Kxf2 c5 5. Nf3 cxd4	rnbqkb1r/pp1ppppp/8/8/2Pp4/2N2N2/PP2PKPP/R1BQ1B1R w kq - 0 6	2	+546
B02: Alekhine Defense: Two Pawns Attack	e2e4,g8f6,e4e5,f6d5,c2c4,d5e3	6	0.0913561350803675	0.1689827644984839	825	56	1673	0.3230227094753328	0.0219263899765074	0.6550509005481597	1. e4 Nf6 2. e5 Nd5 3. c4 Ne3	rnbqkb1r/pppppppp/8/4P3/2P5/4n3/PP1P1PPP/RNBQKBNR w KQkq - 1 4	3	+752
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,b1c3,c8g4	6	0.0812922623678612	0.1503674735711246	1337	117	2546	0.33425	0.02925	0.6365	1. e4 d5 2. exd5 c6 3. Nc3 Bg4	rn1qkbnr/pp2pppp/2p5/3P4/6b1/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4	4	+790
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,d8c7,c6b7,c8b7,g1f3,b8c6	10	0.075551202457905	0.1397481520128913	274	29	474	0.3526383526383526	0.0373230373230373	0.61003861003861	1. e4 d5 2. exd5 c6 3. dxc6 Qc7 4. cxb7 Bxb7 5. Nf3 Nc6	r3kbnr/pbq1pppp/2n5/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	5	+242
B40: Sicilian Defense: French Variation	e2e4,c7c5,g1f3,e7e6,d2d4,d8b6,d4c5	7	0.0637500017705667	0.1179193004005338	3869	338	6562	0.3592719843996657	0.0313863868511468	0.6093416287491875	1. e4 c5 2. Nf3 e6 3. d4 Qb6 4. dxc5	rnb1kbnr/pp1p1ppp/1q2p3/2P5/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4	6	-29
B13: Caro-Kann Defense: Exchange Variation	e2e4,c7c6,d2d4,d7d5,e4d5,c8g4	6	0.0782114765072586	0.1446688994020828	1469	111	2422	0.3670664667666167	0.0277361319340329	0.6051974012993503	1. e4 c6 2. d4 d5 3. exd5 Bg4	rn1qkbnr/pp2pppp/2p5/3P4/3P2b1/8/PPP2PPP/RNBQKBNR w KQkq - 1 4	7	+847
B28: Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line	e2e4,c7c5,g1f3,a7a6,d2d4,c5d4,f3d4,e7e5,d4f3,f8e7	10	0.0632411615705478	0.1169780913223311	262	21	418	0.3737517831669044	0.0299572039942938	0.5962910128388017	1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Nxd4 e5 5. Nf3 Be7	rnbqk1nr/1p1pbppp/p7/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 6	8	+57
B40: Sicilian Defense: Kveinis Variation	e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,d8b6,b1c3	9	0.0739841269701742	0.1368495098159377	12977	1836	21506	0.3573060932294391	0.0505520526446212	0.5921418541259396	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Qb6 5. Nc3	rnb1kbnr/pp1p1ppp/1q2p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5	9	-35
A50: Mexican Defense	d2d4,g8f6,c2c4,b8c6,b1c3,e7e5,d4d5,c6e7,e2e4,e7g6	10	0.0305474178757822	0.1142478912992859	45286	4591	70983	0.3746979976832699	0.0379860996193943	0.5873159026973358	1. d4 Nf6 2. c4 Nc6 3. Nc3 e5 4. d5 Ne7 5. e4 Ng6	r1bqkb1r/pppp1ppp/5nn1/3Pp3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 6	10	+97
