Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx
A15: English Opening: Anglo-Indian Defense	c2c4,g8f6,g2g3,g7g6,b1c3,f8g7,e2e4,d7d6,h2h3,e8h8	10	0.0332730492389115	0.1660901004450758	3015	258	2103	0.5608258928571429	0.0479910714285714	0.3911830357142857	1. c4 Nf6 2. g3 g6 3. Nc3 Bg7 4. e4 d6 5. h3 O-O	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1P2/R1BQKBNR w KQ - 1 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,g2g3,f8g7,e2e4,d7d6,h2h3,e8h8	10	0.0312675863789333	0.1560793699748694	3014	258	2103	0.5607441860465117	0.048	0.3912558139534883	1. c4 Nf6 2. Nc3 g6 3. g3 Bg7 4. e4 d6 5. h3 O-O	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1P2/R1BQKBNR w KQ - 1 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,e2e4,d7d6,g2g3,f8g7,h2h3,e8h8	10	0.0268039250589702	0.1337979748534853	3014	258	2103	0.5607441860465117	0.048	0.3912558139534883	1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. g3 Bg7 5. h3 O-O	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1P2/R1BQKBNR w KQ - 1 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,e2e4,d7d6,h2h3,f8g7,g2g3,e8h8	10	0.026795758956084	0.1337572118672354	3014	258	2103	0.5607441860465117	0.048	0.3912558139534883	1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. h3 Bg7 5. g3 O-O	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1P2/R1BQKBNR w KQ - 1 6	280
A00: Hungarian Opening: Indian Defense	g2g3,g8f6,c2c4,g7g6,b1c3,f8g7,e2e4,d7d6,h2h3,e8h8	10	0.0177255372182884	0.1661055475382819	3015	258	2104	0.5607215919657802	0.0479821461781662	0.3912962618560535	1. g3 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. h3 O-O	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1P2/R1BQKBNR w KQ - 1 6	280
A00: Hungarian Opening: Symmetrical Variation	g2g3,g7g6,c2c4,f8g7,b1c3,g8f6,e2e4,d7d6,h2h3,e8h8	10	0.0112023080486426	0.1263637797142146	3015	258	2104	0.5607215919657802	0.0479821461781662	0.3912962618560535	1. g3 g6 2. c4 Bg7 3. Nc3 Nf6 4. e4 d6 5. h3 O-O	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1P2/R1BQKBNR w KQ - 1 6	280
A15: English Opening: Anglo-Indian Defense	c2c4,g8f6,g2g3,g7g6,f1g2,f8g7,b1c3,e8h8,e2e4,d7d6,h2h3	11	0.0325638111543334	0.1625497749443612	6358	576	4573	0.5525332406361345	0.0500564873555227	0.3974102720083427	1. c4 Nf6 2. g3 g6 3. Bg2 Bg7 4. Nc3 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A15: English Opening: Anglo-Indian Defense	c2c4,g8f6,g2g3,g7g6,f1g2,f8g7,e2e4,d7d6,b1c3,e8h8,h2h3	11	0.0270513819684683	0.1350332130986864	6358	576	4573	0.5525332406361345	0.0500564873555227	0.3974102720083427	1. c4 Nf6 2. g3 g6 3. Bg2 Bg7 4. e4 d6 5. Nc3 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,e2e4,d7d6,h2h3,f8g7,g2g3,e8h8,f1g2	11	0.026795758956084	0.1337572118672354	6357	576	4573	0.5524943507735095	0.0500608378237441	0.3974448114027464	1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. h3 Bg7 5. g3 O-O 6. Bg2	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 2 6	280
A15: English Opening: Anglo-Indian Defense	c2c4,g8f6,g2g3,g7g6,b1c3,f8g7,e2e4,d7d6,f1g2,e8h8,h2h3	11	0.0339119293780393	0.1692792180314498	6358	576	4574	0.5524852276677095	0.0500521376433785	0.3974626346889121	1. c4 Nf6 2. g3 g6 3. Nc3 Bg7 4. e4 d6 5. Bg2 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A15: English Opening: Anglo-Indian Defense	c2c4,g8f6,g2g3,g7g6,b1c3,f8g7,e2e4,d7d6,h2h3,e8h8,f1g2	11	0.0332730492389115	0.1660901004450758	6358	576	4574	0.5524852276677095	0.0500521376433785	0.3974626346889121	1. c4 Nf6 2. g3 g6 3. Nc3 Bg7 4. e4 d6 5. h3 O-O 6. Bg2	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 2 6	280
A15: English Opening: Anglo-Indian Defense	c2c4,g8f6,g2g3,g7g6,b1c3,f8g7,f1g2,e8h8,e2e4,d7d6,h2h3	11	0.0314798831386684	0.157139098222058	6358	576	4574	0.5524852276677095	0.0500521376433785	0.3974626346889121	1. c4 Nf6 2. g3 g6 3. Nc3 Bg7 4. Bg2 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,g2g3,f8g7,e2e4,d7d6,f1g2,e8h8,h2h3	11	0.0318692190470091	0.1590825582175299	6356	576	4573	0.5524554541503695	0.0500651890482398	0.3974793568013907	1. c4 Nf6 2. Nc3 g6 3. g3 Bg7 4. e4 d6 5. Bg2 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,g2g3,f8g7,e2e4,d7d6,h2h3,e8h8,f1g2	11	0.0312675863789333	0.1560793699748694	6356	576	4573	0.5524554541503695	0.0500651890482398	0.3974793568013907	1. c4 Nf6 2. Nc3 g6 3. g3 Bg7 4. e4 d6 5. h3 O-O 6. Bg2	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 2 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,g2g3,f8g7,f1g2,e8h8,e2e4,d7d6,h2h3	11	0.0295855160173289	0.1476829277579704	6356	576	4573	0.5524554541503695	0.0500651890482398	0.3974793568013907	1. c4 Nf6 2. Nc3 g6 3. g3 Bg7 4. Bg2 O-O 5. e4 d6 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,e2e4,d7d6,g2g3,f8g7,f1g2,e8h8,h2h3	11	0.0273196705582455	0.136372437481291	6356	576	4573	0.5524554541503695	0.0500651890482398	0.3974793568013907	1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. g3 Bg7 5. Bg2 O-O 6. h3	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 0 6	280
A16: English Opening: Anglo-Indian Defense, Queen's Knight Variation	c2c4,g8f6,b1c3,g7g6,e2e4,d7d6,g2g3,f8g7,h2h3,e8h8,f1g2	11	0.0268039250589702	0.1337979748534853	6356	576	4573	0.5524554541503695	0.0500651890482398	0.3974793568013907	1. c4 Nf6 2. Nc3 g6 3. e4 d6 4. g3 Bg7 5. h3 O-O 6. Bg2	rnbq1rk1/ppp1ppbp/3p1np1/8/2P1P3/2N3PP/PP1P1PB1/R1BQK1NR b KQ - 2 6	280
