Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval	analysis_url
A50: Mexican Defense	d2d4,g8f6,c2c4,b8c6,b1c3,e7e5,d4d5,c6e7,e2e4,e7g6	10	0.0305854085880702	0.114365652210161	46391	4688	72643	0.3749616074748226	0.0378914016908876	0.5871469908342898	1. d4 Nf6 2. c4 Nc6 3. Nc3 e5 4. d5 Ne7 5. e4 Ng6	r1bqkb1r/pppp1ppp/5nn1/3Pp3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 6	13	+85	https://lichess.org/FqzTxeZ3
B01: Scandinavian Defense: Blackburne-Kloosterboer Gambit	e2e4,d7d5,e4d5,c7c6,d5c6,e7e6,c6b7,c8b7,g1f3,b8c6	10	0.0711223204541049	0.131499245718571	258	15	376	0.3975346687211094	0.0231124807395993	0.5793528505392912	1. e4 d5 2. exd5 c6 3. dxc6 e6 4. cxb7 Bxb7 5. Nf3 Nc6	r2qkbnr/pb3ppp/2n1p3/8/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 6	14	+316	https://lichess.org/79BAnG4p
B01: Scandinavian Defense: Mieses-Kotroc Variation	e2e4,d7d5,e4d5,d8d5,b1c3,d5e6,f1e2,b8c6,g1f3,e6g6,e1h1,c8h3,f3h4,g6g5	14	0.0667144112236816	0.12334938874968	9787	728	14373	0.3932417229186756	0.0292510446801671	0.5775072324011572	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe6+ 4. Be2 Nc6 5. Nf3 Qg6 6. O-O Bh3 7. Nh4 Qg5	r3kbnr/ppp1pppp/2n5/6q1/7N/2N4b/PPPPBPPP/R1BQ1RK1 w kq - 10 8	15	-54	https://lichess.org/jgM1f1sz
A40: Englund Gambit Complex: Englund Gambit	d2d4,e7e5,d4e5,d8e7,g1f3,b8c6,c1f4,e7b4	8	0.0288128695178952	0.1077377339907648	169456	11378	245655	0.3973279498416137	0.0266782965094058	0.5759937536489804	1. d4 e5 2. dxe5 Qe7 3. Nf3 Nc6 4. Bf4 Qb4+	r1b1kbnr/pppp1ppp/2n5/4P3/1q3B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 5 5	16	+190	https://lichess.org/KZJA5IXf
A41: Rat Defense: English Rat, Lisbon Gambit	d2d4,d7d6,c2c4,e7e5,d4e5,b8c6,e5d6,d8d6,d1d6,f8d6	10	0.0273596412572065	0.1023037899790203	406	68	633	0.3667570009033423	0.061427280939476	0.5718157181571816	1. d4 d6 2. c4 e5 3. dxe5 Nc6 4. exd6 Qxd6 5. Qxd6 Bxd6	r1b1k1nr/ppp2ppp/2nb4/8/2P5/8/PP2PPPP/RNB1KBNR w KQkq - 0 6	17	+63	https://lichess.org/i93Hy2MS
B01: Scandinavian Defense: Mieses-Kotroc Variation	e2e4,d7d5,e4d5,d8d5,b1c3,d5e6,f1e2,e6g6,e2f3,e7e5	10	0.0781513094310528	0.1444952607913534	2444	223	3539	0.3938124395746052	0.0359329680953915	0.5702545923300032	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe6+ 4. Be2 Qg6 5. Bf3 e5	rnb1kbnr/ppp2ppp/6q1/4p3/8/2N2B2/PPPP1PPP/R1BQK1NR w KQkq - 0 6	18	+45	https://lichess.org/reuDsY00
A05: Zukertort Opening	g1f3,g8f6,g2g3,c7c5,f1g2,b8c6,e1h1,h7h5	8	0.0114401606606466	0.2395360758239124	1007	92	1449	0.3952119309262166	0.0361067503924646	0.5686813186813187	1. Nf3 Nf6 2. g3 c5 3. Bg2 Nc6 4. O-O h5	r1bqkb1r/pp1pppp1/2n2n2/2p4p/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 0 5	19	+62	https://lichess.org/U8J4a8n1
B02: Alekhine Defense: Scandinavian Variation, Geschev Gambit	e2e4,d7d5,e4d5,g8f6,b1c3,c7c6,d5c6,a7a6	8	0.0905837861165965	0.1674818745031162	1257	90	1754	0.4053531118993873	0.0290228958400515	0.5656239922605611	1. e4 d5 2. exd5 Nf6 3. Nc3 c6 4. dxc6 a6	rnbqkb1r/1p2pppp/p1P2n2/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 5	20	+241	https://lichess.org/EhPjYPNF
B27: Sicilian Defense	e2e4,c7c5,g1f3,d7d5,d2d4,d5e4	6	0.0595145710237461	0.1100374839982495	18692	1874	26709	0.3953886832363829	0.0396404019037546	0.5649709148598625	1. e4 c5 2. Nf3 d5 3. d4 dxe4	rnbqkbnr/pp2pppp/8/2p5/3Pp3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4	21	-97	https://lichess.org/2TFx6fe1
B29: Sicilian Defense: Nimzowitsch Variation	e2e4,c7c5,g1f3,g8f6,d2d4,f6e4	6	0.0626442753753352	0.1158240466262457	30540	2772	42736	0.4015884704397223	0.0364506627393225	0.5619608668209551	1. e4 c5 2. Nf3 Nf6 3. d4 Nxe4	rnbqkb1r/pp1ppppp/8/2p5/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4	22	-52	https://lichess.org/AM5gZOmp
