Opening	UCI_moves	move_index	prob	prob_trimmed	white_wins	draws	black_wins	white_win_prob	draw_prob	black_win_prob	san	fen	cluster_idx	stockfish_eval
A00: Van Geet Opening: Novosibirsk Variation	b1c3,c7c5,d2d4,c5d4,d1d4,b8c6,d4h4,g8f6,g1f3	9	0.0223752778910911	0.2830620570041177	10116	704	6717	0.5768375434795004	0.0401436961852084	0.3830187603352911	1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4 Nf6 5. Nf3	r1bqkb1r/pp1ppppp/2n2n2/8/7Q/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 4 5	187	-19
A05: Zukertort Opening	g1f3,g8f6,d2d3,g7g6,b1d2,f8g7,e2e4,e8h8,f1e2,d7d6,e4e5	11	0.0243413650969078	0.123269114292045	309	18	209	0.5764925373134329	0.0335820895522388	0.3899253731343283	1. Nf3 Nf6 2. d3 g6 3. Nbd2 Bg7 4. e4 O-O 5. Be2 d6 6. e5	rnbq1rk1/ppp1ppbp/3p1np1/4P3/8/3P1N2/PPPNBPPP/R1BQK2R b KQ - 0 6	188	+103
A00: Van Geet Opening	b1c3,d7d5,e2e4,d5d4,c3e2,e7e5,e2g3	7	0.0626022115709954	0.2534391267800787	123646	7718	83169	0.576349559275263	0.0359758172402381	0.3876746234844989	1. Nc3 d5 2. e4 d4 3. Nce2 e5 4. Ng3	rnbqkbnr/ppp2ppp/8/4p3/3pP3/6N1/PPPP1PPP/R1BQKBNR b KQkq - 1 4	189	+58
D00: Blackmar-Diemer Gambit Declined: Weinsbach Declination	d2d4,e7e6,e2e4,d7d5,b1c3,g8f6,f2f3,d5e4,f3e4	9	0.0107037605682406	0.1090677329337271	36558	2095	24790	0.5762337846570937	0.0330217675708904	0.3907444477720158	1. d4 e6 2. e4 d5 3. Nc3 Nf6 4. f3 dxe4 5. fxe4	rnbqkb1r/ppp2ppp/4pn2/8/3PP3/2N5/PPP3PP/R1BQKBNR b KQkq - 0 5	190	-60
A13: English Opening: Agincourt Defense	c2c4,e7e6,g1f3,d7d5,b2b3,g8f6,e2e3,f8e7,f1e2,e8h8	10	0.0124081787695633	0.1062714912775585	503	68	302	0.5761741122565864	0.0778923253150057	0.3459335624284078	1. c4 e6 2. Nf3 d5 3. b3 Nf6 4. e3 Be7 5. Be2 O-O	rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/1P2PN2/P2PBPPP/RNBQK2R w KQ - 3 6	191	+11
C00: French Defense: Queen's Knight	b1c3,e7e6,e2e4,d7d5,g1e2,d5d4,c3b1,c7c5,e2g3	9	0.0150490243826033	0.1382420506079542	704	36	482	0.5761047463175123	0.0294599018003273	0.3944353518821604	1. Nc3 e6 2. e4 d5 3. Nge2 d4 4. Nb1 c5 5. Ng3	rnbqkbnr/pp3ppp/4p3/2p5/3pP3/6N1/PPPP1PPP/RNBQKB1R b KQkq - 1 5	192	+75
A00: Van Geet Opening: Reversed Scandinavian	b1c3,e7e5,d2d4,e5d4,d1d4,b8c6,d4a4,g8f6,c1g5,f8e7,g1f3,e8h8	12	0.0165768757288373	0.1304773968298115	629	47	416	0.576007326007326	0.043040293040293	0.3809523809523809	1. Nc3 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qa4 Nf6 5. Bg5 Be7 6. Nf3 O-O	r1bq1rk1/ppppbppp/2n2n2/6B1/Q7/2N2N2/PPP1PPPP/R3KB1R w KQ - 7 7	193	+36
B00: Nimzowitsch Defense: Kennedy Variation	e2e4,e7e5,d2d4,b8c6,d4e5,c6e5,d1d4	7	0.0404921853611578	0.1275979422468146	3214	195	2171	0.5759856630824373	0.0349462365591397	0.3890681003584229	1. e4 e5 2. d4 Nc6 3. dxe5 Nxe5 4. Qd4	r1bqkbnr/pppp1ppp/8/4n3/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 1 4	194	+32
A04: Zukertort Opening: Sicilian Invitation	g1f3,c7c5,f3e5,d7d6,e5f7,e8f7,g2g3	7	0.0237076241623404	0.233085564426785	304	17	207	0.5757575757575758	0.0321969696969696	0.3920454545454545	1. Nf3 c5 2. Ne5 d6 3. Nxf7 Kxf7 4. g3	rnbq1bnr/pp2pkpp/3p4/2p5/8/6P1/PPPPPP1P/RNBQKB1R b KQ - 0 4	195	+494
A06: Zukertort Opening: Tennison Gambit	e2e4,d7d5,g1f3,d5e4,f3g5,g8f6,d2d3,e4d3,f1d3	9	0.0273282105656661	0.2772360365361274	144438	8501	97941	0.5757254464285714	0.0338847257653061	0.3903898278061224	1. e4 d5 2. Nf3 dxe4 3. Ng5 Nf6 4. d3 exd3 5. Bxd3	rnbqkb1r/ppp1pppp/5n2/6N1/8/3B4/PPP2PPP/RNBQK2R b KQkq - 0 5	196	+128
A00: Van Geet Opening	b1c3,d7d5,e2e4,d5d4,c3e2,e7e5,g1f3,b8c6,e2g3	9	0.0273020801559087	0.1105298867300577	38325	2310	25947	0.5756060196449491	0.0346940614580517	0.3896999188969992	1. Nc3 d5 2. e4 d4 3. Nce2 e5 4. Nf3 Nc6 5. Ng3	r1bqkbnr/ppp2ppp/2n5/4p3/3pP3/5NN1/PPPP1PPP/R1BQKB1R b KQkq - 3 5	197	+77
C00: French Defense: Queen's Knight	b1c3,e7e6,e2e4,d7d5,f2f3,d5d4,c3e2,c7c5,e2g3	9	0.0123443539639596	0.1133966403417444	842	36	585	0.5755297334244702	0.024606971975393	0.3998632946001367	1. Nc3 e6 2. e4 d5 3. f3 d4 4. Nce2 c5 5. Ng3	rnbqkbnr/pp3ppp/4p3/2p5/3pP3/5PN1/PPPP2PP/R1BQKBNR b KQkq - 1 5	198	+73
